4K测试,rtp://239.45.1.109:5140
4K高清,rtp://239.45.0.33:5140
安徽卫视,rtp://239.45.1.120:5140
安徽卫视,rtp://239.45.3.143:5140
北京卫视,rtp://239.45.3.229:5140
北京卫视4K,rtp://233.18.204.209:5140
茶频道,rtp://239.45.3.18:5140
重庆卫视,rtp://239.45.1.84:5140
第一财经,rtp://239.45.3.211:5140
东方财经,rtp://239.45.0.17:5140
东方购物,rtp://239.45.3.75:5140
东方购物,rtp://239.45.3.207:5140
东方购物,rtp://239.45.3.74:5140
东方卫视,rtp://239.45.3.146:5140
东方影视,rtp://239.45.3.237:5140
东南卫视,rtp://239.45.1.121:5140
动漫秀场,rtp://239.45.3.134:5140
都市剧场,rtp://239.45.3.136:5140
法治天地,rtp://239.45.1.46:5140
防疫宣传,rtp://239.45.3.235:5140
甘肃卫视,rtp://239.45.0.15:5140
广东卫视,rtp://239.45.3.230:5140
广东卫视4K,rtp://233.18.204.218:5140
广西卫视,rtp://239.45.0.5:5140
贵州卫视,rtp://239.45.1.80:5140
哈哈炫动,rtp://239.45.1.55:5140
海南卫视,rtp://239.45.1.81:5140
河北卫视,rtp://239.45.1.44:5140
河南卫视,rtp://239.45.0.3:5140
黑龙江卫视,rtp://239.45.3.232:5140
湖北卫视,rtp://239.45.3.239:5140
湖南卫视,rtp://239.45.3.228:5140
欢笑剧场,rtp://239.45.3.196:5140
欢笑剧场4K,rtp://239.45.1.4:5140
吉林卫视,rtp://239.45.0.6:5140
吉林卫视,rtp://239.45.3.248:5140
纪实科教,rtp://239.45.1.14:5140
江苏卫视,rtp://239.45.3.177:5140
江西卫视,rtp://239.45.1.122:5140
金色学堂,rtp://239.45.0.9:5140
金鹰纪实,rtp://239.45.1.45:5140
金鹰卡通,rtp://239.45.0.38:5140
金鹰卡通,rtp://239.45.3.233:5140
卡酷少儿,rtp://239.45.0.8:5140
快乐垂钓,rtp://239.45.3.12:5140
乐游,rtp://239.45.3.135:5140
辽宁卫视,rtp://239.45.1.123:5140
青海卫视,rtp://239.45.0.37:5140
三沙卫视,rtp://239.45.0.56:5140
山东卫视,rtp://239.45.3.238:5140
山西卫视,rtp://239.45.0.57:5140
山西卫视,rtp://239.45.3.205:5140
上海都市,rtp://239.45.3.236:5140
上海教育,rtp://239.45.0.13:5140
深圳卫视,rtp://239.45.3.231:5140
深圳卫视4K,rtp://233.18.204.219:5140
生活时尚,rtp://239.45.3.132:5140
四川卫视,rtp://239.45.1.23:5140
四川卫视,rtp://239.45.1.83:5140
天津卫视,rtp://239.45.1.124:5140
五星体育,rtp://239.45.3.210:5140
